8041,Tula,Tula,Russia,TYA,\N,54.142208,37.355619,590.0,3,N,Europe/Moscow,unknown,User
5533,Webequie Airport,Webequie,Canada,YWP,CYWP,52.9593933975,-87.3748683929,685.0,-5,A,America/Toronto,airport,OurAirports
6005,Wonju/Hoengseong Air Base (K-38/K-46),Wonju,South Korea,WJU,RKNW,37.441201,127.963858,329.0,9,U,Asia/Seoul,airport,OurAirports
8194,Westerly State Airport,Washington County,United States,WST,KWST,41.3496017456,-71.8033981323,81.0,-5,A,America/New_York,airport,OurAirports
964,Okondja Airport,Okondja,Gabon,OKN,FOGQ,-0.6652140021324158,13.673100471496582,1325.0,1,N,Africa/Libreville,airport,OurAirports
8560,Genesee County Airport,Batavia,United States,\N,KGVQ,43.03170013,-78.16760254,914.0,-5,A,America/New_York,airport,OurAirports
12106,Kandi Airport,Kandi,Benin,KDC,DBBK,11.14479,2.940381,951.0,1,U,\N,airport,OurAirports
7705,Detroit Amtrak Station,Detroit,United States,\N,\N,42.368097,-83.072397,630.0,-5,A,America/New_York,station,User
5773,Tupelo Regional Airport,Tupelo,United States,TUP,KTUP,34.26810073852539,-88.7698974609375,346.0,-6,A,America/Chicago,airport,OurAirports
11582,Haapsalu,Haapsalu,Estonia,\N,\N,58.941603,23.538851,15.0,1,E,\N,unknown,User
2171,Amman-Marka International Airport,Amman,Jordan,ADJ,OJAM,31.972700119018555,35.991600036621094,2555.0,2,E,Asia/Amman,airport,OurAirports
9010,Himeji Station,Himeji,Japan,\N,\N,34.49395,134.412706,141.0,9,U,Asia/Tokyo,station,User
6374,Mörön Airport,Muren,Mongolia,MXV,ZMMN,49.663299560546875,100.0989990234375,4272.0,8,U,Asia/Ulaanbaatar,airport,OurAirports
1538,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,LIPE,44.5354,11.2887,123.0,1,E,Europe/Rome,airport,OurAirports
10498,South Croydon Railway Station,Croydon,United Kingdom,\N,\N,51.3629,-0.0937,205.0,0,E,\N,station,User
2532,Bauru Airport,Bauru,Brazil,BAU,SBBU,-22.3449993134,-49.0537986755,2025.0,-3,S,America/Sao_Paulo,airport,OurAirports
337,Berlin-Schönefeld Airport,Berlin,Germany,SXF,EDDB,52.380001,13.5225,157.0,1,E,Europe/Berlin,airport,OurAirports
1195,Stara Zagora Airport,Stara Zagora,Bulgaria,SZR,LBSZ,42.3766667,25.655,558.0,2,E,Europe/Sofia,airport,OurAirports
1692,Malatya Tulga Airport,Malatya,Turkey,\N,LTAO,38.353699,38.253899,3016.0,3,E,Europe/Istanbul,airport,OurAirports
8071,Kingston Train Station,Kingston,Canada,XEG,KGST,44.256944,-76.536943,282.0,-5,A,America/Toronto,station,User
1247,Valladolid Airport,Valladolid,Spain,VLL,LEVD,41.7061004639,-4.85194015503,2776.0,1,E,Europe/Madrid,airport,OurAirports
8110,Oldenburg-Hatten Airfield,Oldenburg,Germany,\N,EDWH,53.06889,8.313611,26.0,1,E,Europe/Berlin,airport,OurAirports
12493,Sodertalje Hamm Railway Station,Sodertalje,Sweden,\N,\N,59.179405,17.646463,85.0,1,E,\N,\N,\N
3788,Nogales International Airport,Nogales,United States,OLS,KOLS,31.4177,-110.848,3955.0,-7,A,America/Phoenix,airport,OurAirports
13370,Tasiusaq (Qaasuitsup) Heliport,Tasiusaq,Greenland,\N,BGTA,73.37305450439999,-56.060279846200004,181.0,-3,N,\N,airport,OurAirports
8513,Newnan Coweta County Airport,Newnan,United States,\N,KCCO,33.31159973144531,-84.7697982788086,970.0,-5,A,America/New_York,airport,OurAirports
6280,Karumba Airport,Karumba,Australia,KRB,YKMB,-17.45669937133789,140.8300018310547,5.0,10,O,Australia/Brisbane,airport,OurAirports
5582,"Mo i Rana Airport, Røssvoll",Mo i Rana,Norway,MQN,ENRA,66.363899230957,14.301400184631,229.0,1,E,Europe/Oslo,airport,OurAirports
8690,Fuentemilanos Airport,Segovia,Spain,\N,LEFM,40.888610839799995,-4.23750019073,3307.0,1,E,Europe/Madrid,airport,OurAirports
