9647,Lausanne Railway Station,Lausanne,Switzerland,\N,\N,46.5164,6.6292,1483.0,1,E,Europe/Zurich,station,User
5630,Catumbela Airport,Catumbela,Angola,CBT,FNCT,-12.4792,13.4869,23.0,1,N,Africa/Luanda,airport,OurAirports
2014,Hokitika Airfield,Hokitika,New Zealand,HKK,NZHK,-42.713600158691406,170.98500061035156,146.0,12,Z,Pacific/Auckland,airport,OurAirports
7771,Seward Train Station,Seward Alaska,United States,\N,\N,60.121586,-149.439983,22.0,-9,A,America/Anchorage,station,User
13199,Northeim Airport,Northeim,Germany,\N,EDVN,51.706390380859375,10.039722442626953,404.0,1,E,\N,airport,OurAirports
1898,Gustavo Rizo Airport,Baracoa Playa,Cuba,BCA,MUBA,20.365299224853516,-74.5062026977539,26.0,-5,U,America/Havana,airport,OurAirports
7533,Centro de Lançamento de Alcântara Airport,Alcantara,Brazil,\N,SNCW,-2.372999906539917,-44.396400451660156,148.0,-3,S,America/Fortaleza,airport,OurAirports
2314,Kanoya Airport,Kanoya,Japan,\N,RJFY,31.367599487304688,130.84500122070312,214.0,9,U,Asia/Tokyo,airport,OurAirports
1645,Mostar International Airport,Mostar,Bosnia and Herzegovina,OMO,LQMO,43.282901763916016,17.84589958190918,156.0,1,E,Europe/Sarajevo,airport,OurAirports
5709,Arua Airport,Arua,Uganda,RUA,HUAR,3.049999952316284,30.91699981689453,3951.0,3,U,Africa/Kampala,airport,OurAirports
11362,Mullheim Baden Station,Mullheim,Germany,\N,\N,47.809674,7.599352,763.0,1,E,\N,station,User
4049,University of Illinois Willard Airport,Champaign,United States,CMI,KCMI,40.03919983,-88.27809906,755.0,-6,A,America/Chicago,airport,OurAirports
147,Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.5214004517,-86.22470092770001,80.0,-6,A,America/Winnipeg,airport,OurAirports
9176,Osnabrueck Hbf,Osnabrueck,Germany,\N,\N,52.272778,8.061111,207.0,1,E,Europe/Berlin,station,User
13099,PUCHW,Ballonstartplatz Puch bei Weiz,Austria,\N,\N,47.2224,15.775567,1352.0,1,E,\N,\N,\N
1651,Mihail Kogălniceanu International Airport,Constanta,Romania,CND,LRCK,44.36220169067383,28.488300323486328,353.0,2,E,Europe/Bucharest,airport,OurAirports
9039,Kitoi,Khamar-Daban,Russia,\N,\N,52.111,101.986,2000.0,8,N,Asia/Irkutsk,unknown,User
9082,Wilmington Amtrak Station,Wilmington,United States,ZWI,\N,39.736667,-75.551667,0.0,-5,A,America/New_York,station,User
13227,Boolgeeda,Brockman,Australia,OCM,YBGD,-22.54,117.275,1871.0,8,O,\N,airport,OurAirports
1116,Jimma Airport,Jimma,Ethiopia,JIM,HAJM,7.66609001159668,36.81660079956055,5500.0,3,U,Africa/Addis_Ababa,airport,OurAirports
8240,Redenção Airport,Redencao,Brazil,RDC,SNDC,-8.033289909362793,-49.97990036010742,670.0,-3,S,America/Belem,airport,OurAirports
10045,Katoomba Train Station,Katoomba,Australia,\N,\N,-33.711904,150.311347,3337.0,10,O,\N,station,User
4350,Berlevåg Airport,Berlevag,Norway,BVG,ENBV,70.871399,29.034201,42.0,1,E,Europe/Oslo,airport,OurAirports
12832,Delaware Crossing,Deepwater,United States,\N,\N,39.678294,-75.487222,11.0,-5,A,\N,\N,\N
1352,Carcassonne Airport,Carcassonne,France,CCF,LFMK,43.215999603271484,2.3063199520111084,433.0,1,E,Europe/Paris,airport,OurAirports
12750,Badaling Station,Badaling,China,\N,\N,40.359023,115.995097,2005.0,8,U,\N,\N,\N
6971,Summit Camp,Greenland Ice Cap,Greenland,\N,GSUM,72.5795841916667,-38.4591850305556,10552.0,0,N,America/Danmarkshavn,unknown,User
2767,Juana Azurduy De Padilla Airport,Sucre,Bolivia,SRE,SLSU,-19.007099151611328,-65.2886962890625,9540.0,-4,U,America/La_Paz,airport,OurAirports
2473,Monte Caseros Airport,Monte Caseros,Argentina,MCS,SARM,-30.2719,-57.6402,170.0,-3,N,America/Cordoba,airport,OurAirports
